mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score,mean_test_rmse
22.944377374649047,0.20353196392002285,1.2353174686431885,0.024436709466890593,True,20,sqrt,2,5,200,"{'bootstrap': True, 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200}",-0.05582396316838321,-0.05528243090415291,-0.05505191809301933,-0.05797507570518902,-0.056958177803963,-0.05621831313494149,0.0010977685818550228,1,-0.05274264990016834,-0.05294137285203719,-0.05303645498982415,-0.052323634817748294,-0.05254600371990599,-0.052718023255936795,0.000259624052731577,0.23710401332525244
23.35737261772156,0.11565604227747754,1.278230619430542,0.05562015275920025,True,20,sqrt,2,10,200,"{'bootstrap': True, 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 200}",-0.0558553139266998,-0.05533187731456039,-0.05508645390651163,-0.05796104950292483,-0.05697284582456879,-0.056241508095053086,0.0010772559397799308,2,-0.05286313563378569,-0.05304203377201711,-0.05315050069251858,-0.052391444280579826,-0.05263925306442801,-0.05281727348866584,0.00027447501766814184,0.23715292132936733
11.359620571136475,0.055300884212474796,0.6161650657653809,0.016275792577058763,True,20,sqrt,2,5,100,"{'bootstrap': True, 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",-0.05587922280807331,-0.05538117688864603,-0.0550510132408747,-0.057978348422068206,-0.056988731806316466,-0.05625569863319574,0.0010828341656099866,3,-0.05279054066384402,-0.05300380238148741,-0.05303868230650167,-0.052343525511880803,-0.052579924471288585,-0.05275129506700049,0.0002621203835363695,0.23718283798200016
11.626506423950195,0.038935822884099226,0.6134881973266602,0.006708908900207571,True,20,sqrt,2,10,100,"{'bootstrap': True, 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 100}",-0.05589378112788402,-0.05536674624522535,-0.05509576201971503,-0.057965433590245585,-0.056985266413329135,-0.05626139787927983,0.0010697638934045021,4,-0.05288201320822321,-0.05304522220653603,-0.053117560592293986,-0.05241961322192281,-0.0526584427577536,-0.05282457039734593,0.0002566783428025182,0.23719485213486363
22.66998424530029,1.1756083637938661,1.198951292037964,0.0936160805606575,True,20,sqrt,4,5,200,"{'bootstrap': True, 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 200}",-0.05597648663702121,-0.055453414915332615,-0.0553114297323946,-0.05828285824911317,-0.05718649547786302,-0.056442137002344926,0.0011327157460519614,5,-0.0532924211023731,-0.05340966102435803,-0.053502750158085484,-0.05284017773631706,-0.05299803634476347,-0.05320860927317943,0.0002506183732588364,0.2375755395707751
18.106074237823485,1.9495053880561857,0.9913243770599365,0.025726459169836787,True,20,sqrt,4,10,200,"{'bootstrap': True, 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 200}",-0.055973720812161475,-0.05550282217449744,-0.0553016528045153,-0.058317458057466666,-0.05717731199790212,-0.0564545931693086,0.0011365707925103052,6,-0.05328451722311975,-0.05343657072440957,-0.05354792908144384,-0.05289033673204841,-0.05302924003649031,-0.053237718759502374,0.0002458049205895577,0.23760175329594813
12.07852349281311,0.07759939499328977,0.5974367618560791,0.023321286567421603,True,20,sqrt,4,5,100,"{'bootstrap': True, 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 100}",-0.05597706153486433,-0.055481457911299784,-0.05536365470441401,-0.05825357618751753,-0.05722147697967388,-0.0564594454635539,0.0011126102984485384,7,-0.053318464673650375,-0.05346301978253029,-0.053560082128804254,-0.05283505963964354,-0.05304185968159109,-0.05324369718124391,0.00026889218399567873,0.23761196405811283
11.513596105575562,0.03800080974264554,0.6016723155975342,0.01790581528756661,True,20,sqrt,4,10,100,"{'bootstrap': True, 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 100}",-0.05604628216527926,-0.05552820144629197,-0.055347165645137635,-0.05837461947911615,-0.057167842985955133,-0.05649282234435603,0.0011348333978123918,8,-0.05330902666287761,-0.053454364098492094,-0.053587966289994314,-0.052937266239509895,-0.05304356046332965,-0.053266436750840716,0.00024435175391857836,0.23768218768842572
20.736683988571166,0.19206002038806275,0.8522323608398438,0.009768094665315339,True,15,sqrt,2,5,200,"{'bootstrap': True, 'max_depth': 15, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200}",-0.058971065401805176,-0.05827553552488566,-0.057733794126390015,-0.061456999802436255,-0.05987045135660757,-0.05926156924242494,0.0013100690479144828,9,-0.05678089387827534,-0.056914200055895446,-0.05704227452498188,-0.05615433156437114,-0.056455112563752644,-0.05666936251745529,0.00032329799112573276,0.24343699234591473
20.521879196166992,0.25457760914007876,0.850722074508667,0.014022320533855994,True,15,sqrt,2,10,200,"{'bootstrap': True, 'max_depth': 15, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 200}",-0.05896942555880991,-0.058224001829940024,-0.057834270779261884,-0.06176361416281449,-0.05993394148181272,-0.05934505076252781,0.0014054566774701737,10,-0.05678572503636548,-0.056952057206666504,-0.05714412357625564,-0.05648540776781838,-0.05661231650671199,-0.0567959260187636,0.00023488575265741,0.2436083963301097
10.636733388900756,0.10725643044757892,0.4218882083892822,0.004037421430046515,True,15,sqrt,2,5,100,"{'bootstrap': True, 'max_depth': 15, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",-0.05909533254200922,-0.05835295049481133,-0.057788304041293495,-0.061687843664946146,-0.060040468058856704,-0.05939297976038338,0.00137338125372482,11,-0.05692314952501975,-0.056986702991012606,-0.05709347370959669,-0.056368476587976446,-0.05662184313806429,-0.05679872919033395,0.0002661183490040778,0.24370674951749569
20.16049404144287,0.0941740935793057,0.8461370468139648,0.03671446819500793,True,15,sqrt,4,10,200,"{'bootstrap': True, 'max_depth': 15, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 200}",-0.05903286928371791,-0.05839500719161756,-0.05801047024341066,-0.06170203263411349,-0.060212597094357646,-0.05947059528944346,0.0013424111340427265,12,-0.05705239378263275,-0.05724291362689003,-0.05740359726728651,-0.056656888753510486,-0.05694696788855239,-0.05706055226377445,0.0002556746924588802,0.24386593712415736
10.549463415145874,0.15523662147930942,0.4265164375305176,0.014791967115220442,True,15,sqrt,2,10,100,"{'bootstrap': True, 'max_depth': 15, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 100}",-0.059291879259089575,-0.0584024549721446,-0.05792780442521493,-0.06179584681216873,-0.06001075248996758,-0.059485747591717084,0.001360182582713442,13,-0.05705061519657636,-0.05711765055089038,-0.05728106313154576,-0.05654015026138202,-0.05676551911131708,-0.05695099965034232,0.0002645138681034575,0.24389700201461495
20.330066442489624,0.14591190347405558,0.8485321998596191,0.010992069812591957,True,15,sqrt,4,5,200,"{'bootstrap': True, 'max_depth': 15, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 200}",-0.05909558957983327,-0.05858461603561373,-0.058027473312827024,-0.061651563181629426,-0.060183280235100105,-0.05950850446900071,0.0012857328500811079,14,-0.0571105720392842,-0.05746947612098991,-0.057350789198879704,-0.056544509013111276,-0.05685346886311313,-0.05706576304707565,0.00033556119785002603,0.2439436501920079
10.187737321853637,0.044911353250005004,0.4159255504608154,0.006965108029885821,True,15,sqrt,4,10,100,"{'bootstrap': True, 'max_depth': 15, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 100}",-0.05900351176249576,-0.058573158474429066,-0.05826837397088657,-0.06170314171109443,-0.060471584087097574,-0.059603954001200686,0.0012935389692413286,15,-0.05705712218628377,-0.05740782312931087,-0.057606709151021576,-0.05672199152069333,-0.05728004915577388,-0.05721473902861668,0.00030424681923068816,0.24413921029036012
10.300531005859375,0.1272016277187947,0.4155718326568604,0.0035881542050856144,True,15,sqrt,4,5,100,"{'bootstrap': True, 'max_depth': 15, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 100}",-0.05916440846678145,-0.05881325236691981,-0.058156902607176784,-0.06184712086084508,-0.060374713228768494,-0.05967127950609832,0.0013050341617956269,16,-0.057191903322562375,-0.057650836940166976,-0.057399435956019665,-0.05671900088467606,-0.05702161563389936,-0.05719655854746488,0.0003181874027650719,0.2442770548088754
